title,price,rating,reviews,availability
"Itel P40 (6000mAh Battery with Fast Charging | 2GB RAM + 64GB ROM, Up to 4GB RAM with Memory Fusion | 13MP AI Dual Rear Camera) - Dreamy Blue","6,499.",4.5 out of 5 stars,420 ratings,In stock
"Oppo F23 5G (Bold Gold, 8GB RAM, 256GB Storage) | 5000 mAh Battery with 67W SUPERVOOC Charger | 64MP Rear Triple AI Camera with Microlens | 6.72"" FHD+ 120Hz Display | with Offers","24,999.",Previous page,,In stock
"Samsung Galaxy M04 Light Green, 4GB RAM, 64GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","8,499.",3.9 out of 5 stars,"4,823 ratings",In stock
"Nokia C12 Android 12 (Go Edition) Smartphone, All-Day Battery, 4GB RAM (2GB RAM + 2GB Virtual RAM) + 64GB Capacity | Light Mint","5,999.",3.1 out of 5 stars,437 ratings,In stock
Samsung Galaxy S21 FE 5G Smartphone Olive,"32,890.",2.9 out of 5 stars,11 ratings,Only 1 left in stock
"(Renewed) Xiaomi 11 Lite NE 5G (Jazz Blue, 8GB RAM, 128 GB Storage) | Slimmest (6.81mm) & Lightest (158g) 5G Smartphone | 10-bit AMOLED with Dolby Vision","19,499.",3.5 out of 5 stars,7 ratings,Only 1 left in stock.
Blackberry Corporation 32GB KEYone 4G LTE Single SIM Smartphone (Silver),"23,999.",3.8 out of 5 stars,186 ratings,Only 1 left in stock
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)","18,990.",4.2 out of 5 stars,"124,257 ratings",In stock
"Nokia C21 Plus Android Smartphone, Dual SIM, 3-Day Battery Life, 3GB RAM + 32GB Storage, 13MP Dual Camera with HDR | Dark Cyan","9,470.",4.0 out of 5 stars,430 ratings,In stock
"Nokia C12 Android 12 (Go Edition) Smartphone, All-Day Battery, 4GB RAM (2GB RAM + 2GB Virtual RAM) + 64GB Capacity | Charcoal","5,999.",3.1 out of 5 stars,437 ratings,In stock
"Lava Blaze 5G (Glass Green, 6GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 11GB Expandable RAM | Charger Included | Clean Android (No Bloatware)","11,998.",4.0 out of 5 stars,"3,681 ratings",In stock
"Oppo A78 5G (Glowing Black, 8GB RAM, 128 Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger| 50MP AI Camera | 90Hz Refresh Rate | with No Cost EMI/Additional Exchange Offers","18,999.",4.1 out of 5 stars,"1,145 ratings",In stock
Apple iPhone 14 Pro (256 GB) - Space Black,"1,39,900.",4.5 out of 5 stars,461 ratings,In stock
"Samsung Galaxy M04 Dark Blue, 4GB RAM, 128GB Storage | Upto 8GB RAM with RAM Plus | MediaTek Helio P35 Octa-core Processor | 5000 mAh Battery | 13MP Dual Camera","9,499.",3.9 out of 5 stars,"4,823 ratings",In stock
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 8GB RAM, 256GB Storage)","21,999.",4.0 out of 5 stars,"3,862 ratings",In stock
"Samsung Galaxy M13 (Stardust Brown, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus","10,999.",4.1 out of 5 stars,"22,020 ratings",In stock
"Tecno Spark 9 (Sky Mirror, 4GB RAM,64GB Storage) | 7GB Expandable RAM | Helio G37 Gaming Processor","7,999.",3.9 out of 5 stars,"5,002 ratings",In stock
"Redmi A1 (Light Green, 2GB RAM 32GB ROM) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12","5,699.",4.0 out of 5 stars,"8,873 ratings",In stock
"OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)","34,999.",4.3 out of 5 stars,"14,182 ratings",In stock
realme narzo 50i Prime (Dark Blue 4GB RAM+64GB Storage) Octa-core Processor | 5000 mAh Battery,"8,999.",4.0 out of 5 stars,"4,153 ratings",In stock
Redmi Note 12 5G Mystique Blue 4GB RAM 128GB ROM | 1st Phone with 120Hz Super AMOLED and Snapdragon® 4 Gen 1 | 48MP AI Triple Camera,"16,999.",3.8 out of 5 stars,"4,065 ratings",In stock
